Date	Type	URL	Title	Topic	Summary
2015-12-24	Article	https://medium.com/@aboodman/in-march-2011-i-drafted-an-article-explaining-how-the-team-responsible-for-google-chrome-ships-c479ba623a1b	How Chromium Works	Software Engineering	Great overview of the software development process of the Chromium project, one of the biggest and most successful open source projects out there. The article claims that the main ingredient to their rapid ship cycle is that every developer always works off of head (to avoid costly integrations) which is enabled by high test coverage (to avoid breaking things) and feature flags (to hide partial features until they ship). They also talk about relentless refactoring but fail to mention how large-scale refactors fit in with constantly working off of head: how does one check in a partially completed refactor?
2015-12-06	Book	http://www.amazon.co.uk/dp/B00B0SA1LY/	Keeping Up with the Quants: Your Guide to Understanding and Using Analytics	Management	Lots of fluff and not much substance. The majority of the book is filled with examples of how real-world companies solved some problems with data and how they went about solving the problem. The main interesting point in the book is the framework that the authors introduce to discuss data problems. The framework is useful in order to keep in mind that problem recognition, definition and communication are as important as solving the analytical issues at hand.
2015-10-30	Book	http://www.amazon.co.uk/dp/B005OYHF0A/	Working Effectively with Legacy Code	Software Engineering	One of the best hands-on books on writing good code in recent memory. Lots of practical advice on how to write testable (i.e. maintainable) code and how to safely make bad code more testable. Succinctly written and a good reference on the how-why-and-when of a variety of refactors.
2015-10-15	Book	http://www.amazon.co.uk/dp/B004R9QACC/	The Psychology of Computer Programming	Software Engineering	An interesting classic: thirty years old and yet it contains a lot of wisdom that is only slowly and gradually being accepted and applied (and where it is applied, usually to universal success) -- however, the book is also quite dated in many ways, relatively low on information density and therefore ultimately not an enjoyable-or-commendable read to anyone but the 'Agile historian'; more modern texts simply offer more to the practitioner.
2015-07-26	Paper	http://vita.had.co.nz/papers/tidy-data.pdf	Tidy Data	Data Science	The paper proposes a standard way to approach denormalizing data that makes it easier to visualize, analyze and find outliers: avoid encoding information in column headers, avoid multi-variate data-types in columns, avoid data-types that require both column and row values to encode information, avoid multiple data-types in the same table, avoid spreading a logical row over multiple tables, etc.
2015-06-25	Paper	https://homes.cs.washington.edu/~pedrod/papers/cacm12.pdf	A Few Useful Things to Know about Machine Learning	Machine Learning	Very high-level, easy to read, non-technical introduction to some of the main problems and gotchas in machine learning, e.g. evaluation, feature engineering, representation, etc. Probably a good text to give to family and friends who would like to know a bit more about the field. Anyone already involved in the field should already be familiar with everything mentioned in the paper and can therefore pass on it.
2015-06-25	Article	http://www.knime.org/blog/seven-techniques-for-data-dimensionality-reduction	Seven Techniques for Data Dimensionality Reduction	Machine Learning	Missing value ratio: remove features with high number of missing values. Low variance filter: remove features with low variance (only applies to numeric features). High correlation filter: remove correlated features using Person's Product Moment Coefficient or Chi-Squared test - remember to scale features first (doesn't work for numeric/categorical pairs of features). Trees: build a random forest on the data and see how often each feature is used in the ensemble - frequently used features are good features due to having a high information gain. Principal components: PCA destroys feature interpretability (only applies to numeric features). Backward elimination: remove one feature at a time and re-train the classifier and kill the feature with the lowest increase in error (very slow). Forward construction: start with one feature and add features to the classifier until the error decrease is small (very slow). They compare all approaches on the KDD-2009 data-set and find that Trees perform best in terms of dimensionality-reduction-to-AUC ratio but that simple methods like Missing value/high-correlation filters are not far behind.
2015-06-22	Article	https://www.chrisstucchio.com/blog/2013/hadoop_hatred.html	Don't use Hadoop - your data isn't that big	Data Science	Short rant on the over-use of map-reduce for small data-set sizes and how that puts constraints on the types of expressible computations. Alternatives: add more memory to your server and process the data in memory or stream it. If the data is really too big for memory, check if a database on an SSD will give decent performance. Map-reduce should be reserved for terabyte-scale data. Hard to disagree with the pragmatism.
2015-06-22	Article	https://blog.lateral.io/2015/06/the-unknown-perils-of-mining-wikipedia/	The Unknown Perils of Mining Wikipedia	Data Science	Cute cautionary tale about the importance of data-cleanup. It turns out that most of Wikipedia was written by natural language generation algorithms running on databases of facts, e.g. about small towns or rivers. A failure to remove these articles from a crawl of Wikipedia will lead to terrible training data. Work-around: only train on the head articles, i.e. the articles that get lots of human eyeballs.
2015-06-21	Paper	http://research.microsoft.com/pubs/163083/hotcbp12%20final.pdf	Nobody ever got fired for using Hadoop on a cluster	Data Science	The paper makes the argument that for most data-set sizes common in industry, using a cluster of map-reduce machines is inefficient compared to using fewer but bigger servers given recent reductions in the cost of memory. Other advantages of bigger servers over clusters are better algorithms (no distributed approximations required) and a simpler programming model. The down-side of having to load more data on a single machine can be mitigated to some extent by investing into better ethernet connections and faster disks.
2015-06-06	Book	http://www.amazon.co.uk/dp/B00HEL13HW/	Lean Software Development: An Agile Toolkit	Software Engineering	The first few chapters of this book were quite interesting, likening the origins of the lean software movement to its roots in lean manufacturing: which practices made sense to port over, which were inappropriate, what ideas should we still adopt, etc. I especially liked the rather critical view taken on the dogmatic appropriation of Agile techniques - a breath of fresh air. The later parts of the book strayed into a lot heavier management territory and thus were less useful from an software engineer's point of view: team building, motivation, contracts, etc. Summary: the first half well worth reading, the latter half only for aspiring managers.
2015-05-21	Article	https://mpld3.github.io/index.html	MPLD3	Libraries	Wrapper around Matplotlib that renders graphs to interactive Javascript. Very cool.
2015-05-21	Article	https://github.com/trevorstephens/gplearn	gplearn	Libraries	SciKit-Learn style wrapper for some genetic algorithm libraries... more fancy stuff made easier.
2015-05-21	Article	https://github.com/aigamedev/scikit-neuralnetwork	scikit-neuralnetwork	Libraries	SciKit-Learn style wrapper around a bunch of standard neural network libraries... reduces the barrier to entry.
2015-05-21	Article	http://karpathy.github.io/2015/05/21/rnn-effectiveness/	The Unreasonable Effectiveness of Recurrent Neural Networks	Machine Learning	Very fun blog-post that walks through using RNNs to generate natural language and structured texts from character level input. Gives a lightweight background on the theory behind character-level networks and talks about some practical considerations. Unfortunately doesn't compare the RNN output to simpler models like Markov Chains or N-Gram language models to ground their performance.
